gene	pathway
ENSG00000168028	FORMATION_OF_THE_TERNARY_COMPLEX,_AND_SUBSEQUENTLY,_THE_43S_COMPLEX
ENSG00000277079	FORMATION_OF_THE_TERNARY_COMPLEX,_AND_SUBSEQUENTLY,_THE_43S_COMPLEX
ENSG00000171863	FORMATION_OF_THE_TERNARY_COMPLEX,_AND_SUBSEQUENTLY,_THE_43S_COMPLEX
ENSG00000198034	FORMATION_OF_THE_TERNARY_COMPLEX,_AND_SUBSEQUENTLY,_THE_43S_COMPLEX
ENSG00000130741	FORMATION_OF_THE_TERNARY_COMPLEX,_AND_SUBSEQUENTLY,_THE_43S_COMPLEX
ENSG00000104408	FORMATION_OF_THE_TERNARY_COMPLEX,_AND_SUBSEQUENTLY,_THE_43S_COMPLEX
ENSG00000149273	FORMATION_OF_THE_TERNARY_COMPLEX,_AND_SUBSEQUENTLY,_THE_43S_COMPLEX
ENSG00000278637	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000136273	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000197061	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000225589	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000276618	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000275126	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000273703	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000124635	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000165392	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000067369	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000274641	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000166913	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000277224	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000273542	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000105393	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000163781	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000169139	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000163961	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000278705	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000284238	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000164924	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000158373	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000113522	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000180596	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000128731	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000196890	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000185130	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000276410	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000175793	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000178966	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000276180	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000106399	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000108953	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000172613	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000170312	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000174371	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000133119	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000233822	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000138346	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000171792	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000136492	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000274290	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000275713	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000109685	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000117748	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000087206	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000270276	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000276966	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000175054	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000012048	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000138376	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000197299	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000177302	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000164053	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000141510	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000128245	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000206481	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000112130	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000163918	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000177889	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000134057	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000170027	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000234012	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000166483	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000158406	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000163322	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000158402	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000172977	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000158019	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000185515	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000282827	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000149554	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000149311	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000278588	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000116030	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000270882	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000104320	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000273802	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000197903	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000049541	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000274618	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000188486	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000277157	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000224587	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000184678	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000152942	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000101773	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000183765	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000234289	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000020922	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000231135	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000132383	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000113456	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000197837	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000134308	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000228575	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000151164	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000197238	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000111445	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000237095	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000274474	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000137337	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000175643	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000168148	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000146047	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000105229	G2/M_DNA_DAMAGE_CHECKPOINT
ENSG00000116584	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000117461	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000111664	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000277101	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000114790	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000078369	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000126217	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000100485	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000213214	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000146192	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000172354	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000070831	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000145675	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000173848	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000274726	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000120907	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000129675	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000120063	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000067900	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000131089	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000136002	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000160145	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000114346	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000113319	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000183111	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000069966	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000198844	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000186469	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000124126	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000114450	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000278741	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000121879	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000074964	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000134215	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000164050	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000132694	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000214694	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000127920	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000143878	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000242616	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000130762	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000102302	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000104880	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000276016	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000146426	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000162188	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000176533	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000142632	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000155366	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000168243	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000171873	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000137135	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000154358	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000160293	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000156299	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000146535	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000196914	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000171680	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000127084	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000038382	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000170776	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000102606	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000236699	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000172380	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000136238	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000167414	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000050327	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000006638	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000066248	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000170214	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000104728	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000167083	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000205726	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000139132	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000076928	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000115904	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000163947	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000101977	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000090924	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000174021	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000067560	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000127588	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000105647	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000165801	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000159842	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000134318	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000128340	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000141968	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000177105	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000110237	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000282972	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000127928	G_ALPHA_(12/13)_SIGNALLING_EVENTS
ENSG00000162104	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000064547	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000171136	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000255837	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000115138	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000144476	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000112038	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000183134	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000125522	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000171051	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000148908	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000111664	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000151577	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000204640	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000186912	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000198822	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000277339	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000126353	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000152034	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000078369	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000169245	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000277069	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000198829	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000134640	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000147509	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000156234	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000275095	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000137077	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000135898	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000173432	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000169429	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000081041	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000263028	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000198121	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000180245	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000065135	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000184574	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000167083	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000276167	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000273713	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000078295	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000180739	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000221855	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000125730	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000121281	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000069482	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000134489	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000273326	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000212127	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000256188	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000180616	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000212128	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000106804	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000160360	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000274286	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000183813	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000134817	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000263097	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000164082	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000277316	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000271503	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000125245	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000236398	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000274327	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000277238	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000275152	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000236697	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000262612	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000114349	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000151882	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000173175	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000118432	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000213927	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000185149	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000173585	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000184451	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000036828	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000069966	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000134183	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000182631	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000282608	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000168830	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000125910	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000174021	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000082556	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000188822	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000255398	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000157005	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000164129	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000128310	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000169220	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000121966	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000162009	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000277254	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000121446	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000136928	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000183979	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000160791	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000135046	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000172215	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000262525	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000163485	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000139874	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000131096	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000114450	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000184160	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000090104	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000172354	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000165621	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000125510	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000171049	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000282972	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000114353	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000204174	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000113262	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000163464	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000221937	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000167414	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000226761	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000261984	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000237051	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000121381	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000213654	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000128617	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000112486	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000169248	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000182687	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000174944	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000278195	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000237112	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000276114	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000135744	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000124875	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000163914	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000127920	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000171860	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000102076	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000206466	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000186469	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000127928	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000242616	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000121314	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000168081	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000204681	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000013583	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000054277	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000274233	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000121318	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000253148	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000132671	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000179546	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000162188	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000135824	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000087460	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000109255	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000132911	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000161921	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000176533	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000255374	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000183625	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000178394	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000274736	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000186810	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000206314	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000150594	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000232569	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000173080	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000168243	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000196277	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000257138	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000171700	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000164742	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000171388	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000186136	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000185899	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000237052	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000159788	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000181195	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000127955	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000171517	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000272712	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000115009	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000273431	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000160683	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000172410	G_ALPHA_(I)_SIGNALLING_EVENTS
ENSG00000128285	G_ALPHA_(I)_SIGNALLING_EVENTS
