gene	pathway
ENSG00000136986	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000131467	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000095261	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000240118	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000165280	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000206298	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000129084	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000100519	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000277791	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000236342	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000008018	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000231129	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000135776	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000101182	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000108671	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000118137	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000126067	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000228405	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000173208	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000275903	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000198691	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000107331	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000197150	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000223767	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000100911	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000108846	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000107566	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000064687	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000125818	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000101986	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000091262	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000187486	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000243958	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000106588	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000154263	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000154265	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000204264	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000204308	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000281221	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000185627	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000125257	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000172350	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000240065	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000004846	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000183574	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000143106	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000243067	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000142507	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000231631	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000161057	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000114770	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000205220	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000160179	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000159352	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000072849	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000103035	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000130741	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000154262	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000197153	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000278637	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000197061	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000158406	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000180596	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000188486	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000123143	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000275126	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000196866	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000140396	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000234289	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000124635	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000275379	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000278463	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000274641	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000246705	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000274750	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000004487	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000274290	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000197837	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000142515	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000180573	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000105968	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000272196	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000203812	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000184260	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000203811	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000273983	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000277224	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000197238	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000197409	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000107077	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000203852	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000233822	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000163041	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000274183	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000278705	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000273802	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000158373	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000276966	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000270276	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000278588	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000274267	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000277075	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000273542	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000277157	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000278272	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000197903	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000274618	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000169083	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000196890	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000185130	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000183598	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000167751	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000164032	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000276410	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000275713	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000273703	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000270882	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000146047	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000278828	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000184678	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000132475	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000276368	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000277775	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000275714	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000276180	ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_(ANDROGEN_RECEPTOR)_REGULATED_GENES_KLK2_AND_KLK3
ENSG00000102054	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000278637	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000197061	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000074266	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000163882	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000275126	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000273703	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000124635	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000178691	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000181222	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000274641	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000078043	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000105968	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000105258	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000099817	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000277224	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000278705	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000147050	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
ENSG00000158373	ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS
